81.0000	73200	1 10 13 2 3 14 15 4 6 19 12 17 0 8 9 18 5 11 16 7 
66.0000	81600	15 17 4 12 7 1 10 16 11 0 2 8 3 19 6 5 9 13 14 18 
65.0000	82300	7 16 18 9 19 1 8 2 13 0 12 3 10 4 6 17 14 15 11 5 
67.0000	85600	0 10 6 2 12 17 14 7 4 13 19 15 8 9 11 5 3 1 16 18 
81.0000	86900	10 15 5 18 6 2 9 11 4 12 16 1 3 7 0 8 14 13 19 17 
45.0000	57600	7 15 11 8 5 4 1 14 6 19 13 17 16 10 2 12 18 3 0 9 
45.0000	69600	4 11 8 14 15 9 10 16 18 3 0 6 13 7 17 19 1 12 2 5 
53.0000	90200	9 12 11 18 14 3 13 8 10 19 17 0 4 7 1 15 5 2 6 16 
49.0000	53300	9 6 11 0 13 17 8 14 18 5 1 10 7 16 4 19 3 15 12 2 
47.0000	62500	0 2 3 1 4 16 17 13 7 12 18 6 5 9 10 15 11 14 8 19 
43.0000	73900	1 14 6 5 8 13 9 16 17 15 0 18 19 2 10 7 11 3 4 12 
66.0000	107800	0 15 16 4 8 1 18 13 6 17 3 14 9 5 10 19 2 12 11 7 
87.0000	111500	6 0 2 5 12 9 8 13 14 1 16 4 10 7 17 19 3 15 18 11 
39.0000	79800	13 7 12 16 4 10 6 17 18 2 15 14 0 1 19 11 5 9 8 3 
71.0000	71900	4 11 2 0 19 14 16 17 10 3 18 12 6 13 15 1 9 5 8 7 
70.0000	80300	11 14 0 3 15 8 12 2 5 4 10 17 16 1 7 18 6 19 9 13 
52.0000	56300	14 12 10 9 8 5 4 1 0 17 11 13 16 2 18 7 3 19 6 15 
54.0000	65900	3 19 2 18 8 13 1 10 9 7 11 12 15 16 0 6 5 14 17 4 
76.0000	81600	18 7 8 19 3 10 13 15 2 9 1 6 16 0 14 12 5 4 17 11 
58.0000	55100	2 11 3 14 1 4 13 6 5 18 15 9 7 0 19 10 8 12 17 16 
