165.0000	492700	10 9 39 12 11 14 27 26 16 38 1 5 36 29 17 6 15 33 8 32 23 3 34 22 31 35 7 4 28 24 25 0 37 19 18 2 21 30 20 13 
110.0000	321300	20 28 8 35 22 15 3 23 21 14 34 9 6 38 12 1 27 4 31 18 11 25 36 13 16 19 37 29 24 17 0 2 33 7 30 5 39 26 10 32 
86.0000	330200	16 33 5 15 37 17 14 35 29 1 21 19 34 26 38 7 4 39 13 25 0 2 24 20 28 23 27 32 6 12 8 3 11 22 9 18 10 30 36 31 
85.0000	276500	13 17 11 12 20 5 1 29 7 2 21 19 6 37 26 30 10 28 33 15 32 16 39 8 22 23 27 34 36 25 9 35 14 4 3 31 24 18 0 38 
93.0000	480100	37 31 39 26 20 16 4 21 28 13 34 3 36 7 17 11 19 30 32 27 9 0 18 8 10 2 14 15 6 29 38 35 25 33 24 23 22 5 1 12 
93.0000	345100	28 16 38 25 23 2 30 18 27 39 24 19 21 0 35 20 11 12 14 9 33 15 3 6 1 4 36 17 13 26 7 5 29 31 22 8 37 34 32 10 
83.0000	272100	28 18 10 24 12 15 17 30 39 19 8 32 7 20 38 31 11 3 22 14 0 33 37 6 25 2 27 1 4 21 23 35 29 13 26 16 5 36 34 9 
100.0000	229300	22 30 29 8 35 32 16 26 25 11 1 33 3 39 17 19 9 7 28 34 24 18 15 27 14 12 38 37 10 20 31 0 4 21 13 6 5 2 36 23 
81.0000	284400	2 7 9 15 28 13 18 24 0 3 34 26 29 39 37 4 35 31 30 22 27 5 38 12 20 36 21 11 19 25 33 32 8 23 6 16 17 14 1 10 
115.0000	310500	19 35 20 11 31 1 25 7 5 23 33 21 30 36 9 34 12 27 4 15 16 2 6 26 3 32 10 17 24 13 18 22 38 39 37 0 28 8 29 14 
112.0000	186300	8 30 15 17 3 19 37 35 20 23 16 34 18 12 7 13 11 26 33 28 38 10 39 4 21 5 14 27 29 9 2 32 1 24 0 31 6 25 22 36 
125.0000	129800	33 23 21 34 27 0 36 28 3 22 26 16 14 29 13 24 19 9 7 15 31 25 35 10 38 8 1 30 39 4 20 11 17 12 18 32 6 37 2 5 
96.0000	176200	11 28 3 5 12 26 35 14 9 34 19 31 1 24 29 6 27 32 13 22 10 20 23 37 8 17 15 4 38 25 21 33 0 36 16 2 18 30 39 7 
107.0000	162700	11 15 33 5 38 23 12 2 1 14 8 34 6 25 39 19 4 37 9 3 0 27 26 16 30 29 28 10 21 13 35 24 17 20 18 31 7 36 32 22 
94.0000	148500	25 37 26 24 19 12 0 31 13 8 22 21 30 39 36 10 20 17 32 2 14 34 9 6 28 18 38 15 27 23 1 29 33 35 7 4 3 5 11 16 
98.0000	140300	39 11 34 3 7 2 0 1 16 23 22 26 15 37 27 35 32 9 36 20 10 4 8 25 21 13 24 29 18 12 19 14 6 5 31 30 33 17 38 28 
94.0000	140300	24 28 23 26 9 35 3 1 14 7 17 36 2 16 19 8 4 18 34 32 27 21 25 20 39 5 38 11 10 33 37 31 30 12 22 0 13 6 15 29 
64.0000	118900	36 4 39 1 28 17 14 35 10 38 22 33 21 11 8 5 27 7 18 25 3 37 26 19 32 23 15 16 24 9 0 30 20 34 6 2 29 31 12 13 
103.0000	127000	32 29 25 22 7 14 37 2 19 38 0 21 5 30 1 34 12 20 18 8 17 15 6 27 11 24 3 10 28 4 16 39 23 9 36 35 26 31 33 13 
86.0000	118700	13 8 0 22 1 37 21 4 2 30 26 19 9 24 6 36 18 23 34 28 39 10 14 33 15 7 17 5 16 27 35 12 20 31 11 38 3 25 29 32 
